360,3
1,0,1,0
1,2,3,21
1,4,5,0
1,6,7,21
1,8,9,1
1,10,11,1
1,12,13,1
1,14,15,0
1,16,17,1
1,18,19,0
2,5,0,0
2,3,4,24
2,9,10,22
2,13,8,21
2,15,2,22
2,11,12,21
2,1,16,1
2,17,14,2
2,19,6,1
2,7,18,2
3,14,3,0
3,12,10,22
3,13,7,21
3,0,11,22
3,1,15,1
3,4,19,2
3,16,5,0
3,2,9,21
3,18,6,2
3,8,17,3
4,17,18,0
4,10,14,2
4,5,13,3
4,15,4,21
4,6,12,0
4,11,8,2
4,3,0,1
4,19,16,1
4,7,2,3
4,9,1,2
5,13,6,0
5,5,15,21
5,0,14,2
5,1,7,2
5,4,17,2
5,12,19,21
5,16,9,0
5,2,11,0
5,18,3,1
5,8,10,0
6,7,4,1
6,14,1,21
6,6,9,0
6,11,13,0
6,10,0,0
6,12,16,0
6,17,2,1
6,19,15,22
6,18,8,2
6,3,5,0
7,5,6,0
7,4,18,1
7,13,3,0
7,0,8,22
7,15,11,21
7,1,12,0
7,9,17,1
7,7,19,0
7,2,14,0
7,16,10,2
8,10,1,0
8,8,4,25
8,6,15,1
8,11,5,21
8,12,7,0
8,14,16,21
8,17,0,1
8,19,2,1
8,18,13,22
8,3,9,1
9,7,0,3
9,4,6,1
9,13,19,2
9,5,12,2
9,15,8,1
9,1,17,21
9,16,18,1
9,9,14,21
9,2,10,21
9,11,3,21
10,0,2,1
10,6,11,21
10,8,1,1
10,10,7,4
10,12,15,21
10,14,13,1
10,17,3,0
10,19,5,2
10,18,9,1
10,4,16,2
11,10,17,21
11,3,19,2
11,15,13,3
11,11,18,0
11,1,6,2
11,14,4,22
11,9,0,1
11,7,5,0
11,2,12,0
11,16,8,0
12,6,17,0
12,13,10,23
12,5,14,1
12,0,16,2
12,15,7,2
12,8,2,2
12,12,3,21
12,19,11,2
12,18,1,21
12,4,9,0
13,0,4,22
13,1,19,21
13,14,8,1
13,3,15,1
13,17,12,0
13,16,6,0
13,9,5,2
13,7,11,1
13,2,13,22
13,10,18,1
14,18,14,2
14,8,7,3
14,13,9,21
14,5,2,1
14,15,10,2
14,11,16,1
14,4,1,1
14,12,0,0
14,19,17,0
14,6,3,22
15,3,7,3
15,10,4,1
15,0,18,1
15,1,13,2
15,8,19,0
15,14,11,22
15,17,5,1
15,16,15,1
15,2,6,1
15,9,12,1
16,15,17,0
16,5,10,2
16,13,4,0
16,6,14,21
16,11,1,1
16,12,8,1
16,3,16,22
16,19,0,1
16,2,18,1
16,7,9,0
17,10,6,21
17,14,7,2
17,17,11,2
17,16,2,1
17,9,19,2
17,4,12,1
17,0,13,0
17,8,5,0
17,1,3,21
17,18,15,1
18,11,4,21
18,13,17,22
18,5,18,2
18,15,9,0
18,6,0,1
18,12,14,3
18,19,10,21
18,7,16,0
18,2,1,24
18,3,8,3
19,1,0,21
19,3,2,4
19,5,4,0
19,7,6,0
19,9,8,3
19,11,10,1
19,13,12,3
19,15,14,3
